base_id,base_html_url,id,html_url,CURATION
68247954,https://github.com/Global19,68247954,https://github.com/Global19,NOT_GOV
68288738,https://github.com/Global19-atlassian-net,68288738,https://github.com/Global19-atlassian-net,NOT_GOV
5330158,https://github.com/usnistgov,5330158,https://github.com/usnistgov,FEDERAL
6233994,https://github.com/18F,6233994,https://github.com/18F,FEDERAL
643070,https://github.com/GSA,643070,https://github.com/GSA,FEDERAL
5421563,https://github.com/department-of-veterans-affairs,5421563,https://github.com/department-of-veterans-affairs,FEDERAL
4993680,https://github.com/sandialabs,4993680,https://github.com/sandialabs,FEDERAL
6399111,https://github.com/CBIIT,6399111,https://github.com/CBIIT,FEDERAL
1906800,https://github.com/NREL,1906800,https://github.com/NREL,FEDERAL
5921419,https://github.com/LLNL,5921419,https://github.com/LLNL,FEDERAL
848102,https://github.com/nasa,848102,https://github.com/nasa,FEDERAL
1304320,https://github.com/USEPA,1304320,https://github.com/USEPA,FEDERAL
585305,https://github.com/lanl,585305,https://github.com/lanl,FEDERAL
18539691,https://github.com/cisagov,18539691,https://github.com/cisagov,FEDERAL
12104975,https://github.com/CDCgov,12104975,https://github.com/CDCgov,FEDERAL
10872965,https://github.com/pnnl,10872965,https://github.com/pnnl,FEDERAL
180898308,https://github.com/SITHS-College-Now-Beigelman,180898308,https://github.com/SITHS-College-Now-Beigelman,STATE_OR_LOCAL
4871648,https://github.com/cityofaustin,4871648,https://github.com/cityofaustin,STATE_OR_LOCAL
2641050,https://github.com/CityOfPhiladelphia,2641050,https://github.com/CityOfPhiladelphia,STATE_OR_LOCAL
60799422,https://github.com/cloud-gov,60799422,https://github.com/cloud-gov,FEDERAL
18286928,https://github.com/NYCPlanning,18286928,https://github.com/NYCPlanning,STATE_OR_LOCAL
3209407,https://github.com/CMSgov,3209407,https://github.com/CMSgov,FEDERAL
106780766,https://github.com/METAVERSE-MULTIVERSE-CENTRAL-GOVERNMENT,106780766,https://github.com/METAVERSE-MULTIVERSE-CENTRAL-GOVERNMENT,NOT_GOV
709415,https://github.com/agrc,709415,https://github.com/agrc,STATE_OR_LOCAL
