id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
304709829,MDEwOlJlcG9zaXRvcnkzMDQ3MDk4Mjk=,dexcom_reader,NIH-CIT-OIR-SPIS/dexcom_reader,False,https://github.com/NIH-CIT-OIR-SPIS/dexcom_reader,,True,https://api.github.com/repos/NIH-CIT-OIR-SPIS/dexcom_reader,2020-10-16T18:35:02Z,2020-10-20T17:52:33Z,2020-10-20T17:52:30Z,,87,1,1,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True
307803262,MDEwOlJlcG9zaXRvcnkzMDc4MDMyNjI=,PRiME,NIH-CIT-OIR-SPIS/PRiME,False,https://github.com/NIH-CIT-OIR-SPIS/PRiME,MRI Compatible ECG system design documents,True,https://api.github.com/repos/NIH-CIT-OIR-SPIS/PRiME,2020-10-27T19:13:29Z,2021-03-30T12:16:58Z,2021-03-30T12:16:31Z,,526179,0,0,LabVIEW,False,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
333186084,MDEwOlJlcG9zaXRvcnkzMzMxODYwODQ=,fastdtw,NIH-CIT-OIR-SPIS/fastdtw,False,https://github.com/NIH-CIT-OIR-SPIS/fastdtw,A Python implementation of FastDTW,True,https://api.github.com/repos/NIH-CIT-OIR-SPIS/fastdtw,2021-01-26T18:58:43Z,2021-01-26T18:58:47Z,2020-03-31T02:26:21Z,,237,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True
395745126,MDEwOlJlcG9zaXRvcnkzOTU3NDUxMjY=,Video_APA_DVR_Asynch,NIH-CIT-OIR-SPIS/Video_APA_DVR_Asynch,False,https://github.com/NIH-CIT-OIR-SPIS/Video_APA_DVR_Asynch,A Video Recording Software for Raspberry pi 3B +. ,False,https://api.github.com/repos/NIH-CIT-OIR-SPIS/Video_APA_DVR_Asynch,2021-08-13T17:53:44Z,2023-06-22T14:53:09Z,2023-09-13T12:36:25Z,,9649,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
395765923,MDEwOlJlcG9zaXRvcnkzOTU3NjU5MjM=,VideoAPA_DVR_Synch,NIH-CIT-OIR-SPIS/VideoAPA_DVR_Synch,False,https://github.com/NIH-CIT-OIR-SPIS/VideoAPA_DVR_Synch,Synchronous camera version of VideoAPA software,False,https://api.github.com/repos/NIH-CIT-OIR-SPIS/VideoAPA_DVR_Synch,2021-08-13T19:07:58Z,2023-06-22T12:03:47Z,2023-09-13T12:35:00Z,,9253,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
613882731,R_kgDOJJcbaw,MouseVUER,NIH-CIT-OIR-SPIS/MouseVUER,False,https://github.com/NIH-CIT-OIR-SPIS/MouseVUER,A depth camera based open-source system for mice homecage monitoring,False,https://api.github.com/repos/NIH-CIT-OIR-SPIS/MouseVUER,2023-03-14T13:12:48Z,2024-11-02T07:48:59Z,2024-08-13T19:48:00Z,,419175,3,3,Jupyter Notebook,True,True,True,False,False,False,1,,False,False,2,True,False,False,[],public,1,2,3,main,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
665583901,R_kgDOJ6wBHQ,maskcam,NIH-CIT-OIR-SPIS/maskcam,False,https://github.com/NIH-CIT-OIR-SPIS/maskcam,Jetson Nano-based smart camera system that measures crowd face mask usage in real-time.,True,https://api.github.com/repos/NIH-CIT-OIR-SPIS/maskcam,2023-07-12T14:22:36Z,2023-08-15T17:43:13Z,2023-08-15T18:53:34Z,,31723,1,1,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True
675653814,R_kgDOKEWotg,deepstream_python_apps,NIH-CIT-OIR-SPIS/deepstream_python_apps,False,https://github.com/NIH-CIT-OIR-SPIS/deepstream_python_apps,DeepStream SDK Python bindings and sample applications,True,https://api.github.com/repos/NIH-CIT-OIR-SPIS/deepstream_python_apps,2023-08-07T12:18:43Z,2023-08-07T12:25:10Z,2023-08-09T16:34:16Z,,9709,1,1,Jupyter Notebook,False,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NIH-CIT-OIR-SPIS,18578862,MDEyOk9yZ2FuaXphdGlvbjE4NTc4ODYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
