id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
795059775,R_kgDOL2OmPw,xrage-format,lanl-asteroid-impact/xrage-format,False,https://github.com/lanl-asteroid-impact/xrage-format,,False,https://api.github.com/repos/lanl-asteroid-impact/xrage-format,2024-05-02T13:59:53Z,2024-11-15T04:49:24Z,2024-11-15T04:49:20Z,,41,0,0,C++,True,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,lanl-asteroid-impact,185220502,O_kgDOCwo9lg,Organization,public,False,False,False,False,False,True
816641031,R_kgDOMKz0Bw,deep-water-impact-dataset-1,lanl-asteroid-impact/deep-water-impact-dataset-1,False,https://github.com/lanl-asteroid-impact/deep-water-impact-dataset-1,,False,https://api.github.com/repos/lanl-asteroid-impact/deep-water-impact-dataset-1,2024-06-18T06:19:10Z,2024-10-16T15:00:19Z,2024-06-18T23:02:43Z,,64559,0,0,,False,False,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,lanl-asteroid-impact,185220502,O_kgDOCwo9lg,Organization,public,False,False,False,False,False,True
819642086,R_kgDOMNq-5g,deep-water-impact-dataset-2,lanl-asteroid-impact/deep-water-impact-dataset-2,False,https://github.com/lanl-asteroid-impact/deep-water-impact-dataset-2,,False,https://api.github.com/repos/lanl-asteroid-impact/deep-water-impact-dataset-2,2024-06-24T23:31:34Z,2024-11-15T03:07:20Z,2024-06-26T02:20:09Z,,518801,0,0,,False,False,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,lanl-asteroid-impact,185220502,O_kgDOCwo9lg,Organization,public,False,False,False,False,False,True
