id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
755267044,R_kgDOLQR15A,docs,eicorg/docs,False,https://github.com/eicorg/docs,A repository for the EIC documentation,False,https://api.github.com/repos/eicorg/docs,2024-02-09T19:18:20Z,2024-12-10T15:10:55Z,2024-12-10T15:10:48Z,https://eic.readthedocs.io/en/latest/,1097,0,0,Python,True,True,True,False,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,eicorg,160251164,O_kgDOCY09HA,Organization,public,False,False,False,False,False,True
795618954,R_kgDOL2wuig,eic-phoebus,eicorg/eic-phoebus,False,https://github.com/eicorg/eic-phoebus,Phoebus for EIC,False,https://api.github.com/repos/eicorg/eic-phoebus,2024-05-03T17:02:11Z,2024-05-22T18:56:20Z,2024-05-22T18:56:17Z,,81,0,0,Shell,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,eicorg,160251164,O_kgDOCY09HA,Organization,public,False,False,False,False,False,True
848872192,R_kgDOMpjDAA,.github,eicorg/.github,False,https://github.com/eicorg/.github,GitHub organization for EIC projects,False,https://api.github.com/repos/eicorg/.github,2024-08-28T15:00:06Z,2024-08-28T15:54:07Z,2024-08-28T15:54:03Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,eicorg,160251164,O_kgDOCY09HA,Organization,public,False,False,False,False,False,True
861129893,R_kgDOM1PMpQ,SynradBenchmark,eicorg/SynradBenchmark,False,https://github.com/eicorg/SynradBenchmark,A new framework for SR simulation in the EIC,False,https://api.github.com/repos/eicorg/SynradBenchmark,2024-09-22T04:38:35Z,2024-09-24T17:17:13Z,2024-09-22T04:44:44Z,https://arxiv.org/abs/2408.11709,15514,0,0,C,True,True,True,True,False,False,0,,False,False,0,,True,False,False,"['geant4', 'monte-carlo', 'reflection', 'x-ray']",public,0,0,0,main,eicorg,160251164,O_kgDOCY09HA,Organization,public,False,False,False,False,False,True
899627481,R_kgDONZ852Q,eic-phoebus-resources,eicorg/eic-phoebus-resources,False,https://github.com/eicorg/eic-phoebus-resources,"Configuration files, .bob files, and other resources used by Phoebus and middle layer services",False,https://api.github.com/repos/eicorg/eic-phoebus-resources,2024-12-06T16:58:12Z,2024-12-06T21:12:54Z,2024-12-06T21:12:50Z,,7,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,eicorg,160251164,O_kgDOCY09HA,Organization,public,False,False,False,False,False,True
