id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
668368801,R_kgDOJ9Z_oQ,amazon_hvmixing,ICLASS-SFA/amazon_hvmixing,False,https://github.com/ICLASS-SFA/amazon_hvmixing,Amazon horizontal vorticity mixing parameterization analysis,False,https://api.github.com/repos/ICLASS-SFA/amazon_hvmixing,2023-07-19T16:32:28Z,2024-08-06T12:50:59Z,2023-07-25T17:12:13Z,,10755,1,1,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,main,ICLASS-SFA,64279357,MDEyOk9yZ2FuaXphdGlvbjY0Mjc5MzU3,Organization,public,False,False,False,False,False,True
742608917,R_kgDOLENQFQ,cacti-radar,ICLASS-SFA/cacti-radar,False,https://github.com/ICLASS-SFA/cacti-radar,CACTI radar convective cell tracking post processing and analysis codes,False,https://api.github.com/repos/ICLASS-SFA/cacti-radar,2024-01-12T21:27:24Z,2024-11-13T20:52:10Z,2024-12-16T18:20:33Z,,103110,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,main,ICLASS-SFA,64279357,MDEyOk9yZ2FuaXphdGlvbjY0Mjc5MzU3,Organization,public,False,False,False,False,False,True
811187565,R_kgDOMFm9bQ,SAAG,ICLASS-SFA/SAAG,False,https://github.com/ICLASS-SFA/SAAG,Codes related to convection analysis for SAAG,False,https://api.github.com/repos/ICLASS-SFA/SAAG,2024-06-06T05:39:45Z,2024-06-06T18:10:40Z,2024-06-06T18:10:37Z,,15763,0,0,Jupyter Notebook,True,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,ICLASS-SFA,64279357,MDEyOk9yZ2FuaXphdGlvbjY0Mjc5MzU3,Organization,public,False,False,False,False,False,True
