id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
41823318,MDEwOlJlcG9zaXRvcnk0MTgyMzMxOA==,Relative-Citation-Ratio-Manuscript,NIHOPA/Relative-Citation-Ratio-Manuscript,False,https://github.com/NIHOPA/Relative-Citation-Ratio-Manuscript,This repository contains code for the Relative Citation Ratio manuscript,False,https://api.github.com/repos/NIHOPA/Relative-Citation-Ratio-Manuscript,2015-09-02T19:31:42Z,2024-02-06T12:43:00Z,2016-07-18T15:25:34Z,,3296,8,8,Python,True,True,True,False,False,False,5,,False,False,0,,True,False,False,[],public,5,0,8,master,NIHOPA,14097018,MDEyOk9yZ2FuaXphdGlvbjE0MDk3MDE4,Organization,public,False,False,False,False,False,True
49008575,MDEwOlJlcG9zaXRvcnk0OTAwODU3NQ==,word2vec_pipeline,NIHOPA/word2vec_pipeline,False,https://github.com/NIHOPA/word2vec_pipeline,NLP pipeline using word2vec (preprocessing/embedding/prediction/clustering),False,https://api.github.com/repos/NIHOPA/word2vec_pipeline,2016-01-04T16:23:04Z,2024-10-23T20:20:22Z,2024-05-03T19:39:42Z,,3905,115,115,Python,True,True,True,True,False,False,15,,False,False,5,,True,False,False,"['nlp', 'python', 'word2vec']",public,15,5,115,master,NIHOPA,14097018,MDEyOk9yZ2FuaXphdGlvbjE0MDk3MDE4,Organization,public,False,False,False,False,False,True
86833359,MDEwOlJlcG9zaXRvcnk4NjgzMzM1OQ==,NLPre,NIHOPA/NLPre,False,https://github.com/NIHOPA/NLPre,Python library for Natural Language Preprocessing (NLPre),False,https://api.github.com/repos/NIHOPA/NLPre,2017-03-31T15:22:09Z,2024-11-12T06:51:17Z,2023-07-31T07:23:02Z,,53485,190,190,Python,True,True,True,True,False,False,34,,False,False,2,,True,False,False,"['natural-language-processing', 'nlp', 'nlp-parsing', 'python', 'text-processing']",public,34,2,190,master,NIHOPA,14097018,MDEyOk9yZ2FuaXphdGlvbjE0MDk3MDE4,Organization,public,False,False,False,False,False,True
